# Shortfin Mako Shark (Isurus oxyrinchus) Growth Data - SORTED BY REGION
# =========================================================================
# 
# This CSV contains approximately 500 age-length-weight data points generated from
# VERIFIED von Bertalanffy Growth Model (VBGM) parameters published in peer-reviewed studies.
#
# SOURCE: Table 3 - Growth studies conducted with shortfin mako by authors in different locations
#         [updated from Natanson et al. (2006)]
#         Image: data/Screenshot 2025-12-19 at 10.44.35.png
#
# REGIONS INCLUDED (sorted alphabetically):
# - China (Hsu 2003)
# - Pacific_Australia (Chan 2001)
# - Pacific_Baja (Ribot-Carballal et al. 2005)
# - Pacific_California (Cailliet and Bedford 1983)
# - Pacific_Chile (Cerna and Licandeo 2009)
# - Pacific_New_Zealand (Bishop et al. 2006) - Males only (female parameters unrealistic)
# - Southwest_SA (Doño et al. 2014)
# - West_and_Central_SA (This study - fit1)
# - Western_NA (Pratt and Casey 1983, Natanson et al. 2006)
# - Western_and_Central_NP (Semba et al. 2009)
#
# GROWTH EQUATIONS:
# - Von Bertalanffy with t0: L(t) = L_inf * (1 - exp(-k * (t - t0)))
# - Von Bertalanffy with L0: L(t) = L_inf - (L_inf - L0) * exp(-k * t)
#
# LENGTH-WEIGHT RELATIONSHIP:
# W(kg) = 4.4e-6 * FL(cm)^3.14 (Kohler et al. 1996)
#
# NOTES:
# - Data points include realistic measurement noise (±3% CV)
# - Ages derived from realistic age distributions based on longevity data
# - Female Pacific_New_Zealand excluded due to unrealistic Linf (820.1 cm)
#
shark_id,age_years,length_FL_cm,mass_kg,sex,region,source_study,L_inf_cm,K_per_year,t0_or_L0,value_type
C_F001,4.5,139.4,23.8,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F002,5.0,132.4,20.2,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F003,5.5,142.0,25.2,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F004,10.0,185.8,58.7,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F005,12.0,202.7,77.1,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F006,13.0,214.9,92.6,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F007,13.5,220.5,100.4,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F008,14.0,215.4,93.2,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F009,15.0,230.3,115.0,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F010,18.0,249.4,147.8,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F011,21.0,257.2,162.9,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F012,23.0,256.6,161.7,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F013,23.0,286.6,228.7,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F014,24.0,280.3,213.4,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F015,24.5,273.7,197.9,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F016,25.0,291.2,240.5,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F017,25.5,273.8,198.1,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F018,26.0,281.6,216.3,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F019,26.5,283.4,220.9,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F020,29.0,296.4,254.3,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F021,29.0,289.4,235.8,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F022,29.5,296.2,253.7,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F023,30.0,309.5,291.3,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F024,32.5,327.2,346.6,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F025,33.0,304.9,277.7,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F026,33.5,322.5,331.5,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F027,33.5,327.3,347.2,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F028,36.0,320.2,323.9,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F029,36.5,327.4,347.5,F,China,Hsu_2003,403.62,0.04,-5.27,t0
