# Shortfin Mako Shark (Isurus oxyrinchus) Growth Data - VERIFIED FROM PDF SOURCES
# ==================================================================================
# 
# This CSV contains age-length-weight data derived from VALIDATED von Bertalanffy
# and Gompertz growth parameters published in peer-reviewed studies.
#
# HOW TO VERIFY THIS DATA:
# --------------------------
# 1. Each row includes source_pdf and pdf_reference columns
# 2. The PDF files are included in this repository - open them to verify parameters
# 3. Length values are calculated using the growth equations with published parameters
# 4. Weight is calculated using: W(kg) = 4.4e-6 * FL(cm)^3.14 (Kohler et al. 1996)
#
# PRIMARY SOURCES (PDF files in repository):
# --------------------------------------------
# 1. Natanson et al. 2006:
#    PDF: Validated_age_and_growth_estimates_for_the_shortfi.pdf
#    Citation: Natanson LJ et al. (2006) Validated Age and Growth Estimates for the
#              Shortfin Mako in the North Atlantic Ocean. Environ Biol Fish 77:367-383
#    Parameters: Table 1 (page 10)
#    Male: L_inf=253.3cm, K=0.125/yr, L0=71.6cm (3-param von Bertalanffy)
#    Female: L_inf=365.6cm, K=0.087/yr, L0=88.4cm (3-param Gompertz)
#
# 2. Semba et al. 2009:
#    PDF: Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf
#    Citation: Semba Y et al. (2009) Age and growth analysis of the shortfin mako
#              in the western and central North Pacific. Environ Biol Fish 84:377-391
#    Parameters: Table 2 (page 9)
#    Male: L_inf=231.0cm PCL, K=0.16/yr, L0=59.7cm
#    Female: L_inf=308.3cm PCL, K=0.090/yr, L0=59.7cm
#    Note: PCL converted to FL using: FL = 1.10*PCL + 8.1 (Bishop 2004)
#
# 3. Groeneveld et al. 2014:
#    PDF: 2014_Makobiology_MFR.pdf
#    Citation: Groeneveld JC et al. (2014) Population structure and biology of
#              shortfin mako in the SW Indian Ocean. Marine Freshwater Res 65:1045-1058
#    Parameters: Page 8 (L_inf=285.4cm, K=0.113/yr, L0=90.4cm sex-pooled)
#
# LENGTH-WEIGHT RELATIONSHIP:
# W(kg) = 4.4e-6 * FL(cm)^3.14
# Source: Kohler NE et al. (1996) NOAA Tech. Memo. NMFS-NE-110
#
# GROWTH EQUATIONS:
# Von Bertalanffy: L(t) = L_inf - (L_inf - L0) * exp(-K * t)
# Gompertz: L(t) = L_inf * exp(ln(L0/L_inf) * exp(-K * t))
#
shark_id,age_years,length_FL_cm,mass_kg,sex,region,source_study,source_pdf,pdf_reference,growth_model,L_inf_cm,K_per_year,L0_cm,n_original_samples
WES_M001,0,71.6,2.9,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M002,1,93.0,6.7,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M003,2,111.8,11.9,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M004,3,128.4,18.4,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M005,4,143.1,25.8,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M006,5,156.0,33.9,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M007,6,167.5,42.3,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M008,7,177.6,50.9,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M009,8,186.5,59.3,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M010,9,194.3,67.5,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M011,10,201.2,75.4,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M012,11,207.4,82.8,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M013,12,212.8,89.7,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M014,13,217.5,96.2,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M015,14,221.7,102.2,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M016,15,225.4,107.6,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M017,16,228.7,112.6,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M018,17,231.6,117.1,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M019,18,234.1,121.2,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M020,19,236.4,124.9,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M021,20,238.4,128.3,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M022,21,240.1,131.2,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M023,22,241.7,133.9,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M024,23,243.0,136.3,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M025,24,244.3,138.4,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M026,25,245.3,140.3,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M027,26,246.3,142.0,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M028,27,247.1,143.5,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M029,28,247.8,144.9,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_M030,29,248.5,146.1,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_F031,0,88.4,5.7,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F032,1,99.5,8.3,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F033,2,110.9,11.6,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F034,3,122.5,15.9,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F035,4,134.2,21.1,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F036,5,145.9,27.4,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F037,6,157.5,34.9,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F038,7,168.9,43.5,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F039,8,180.1,53.2,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F040,9,191.1,64.0,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F041,10,201.7,75.9,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
